Crime_ID,FIR_Date,FIR_Time,State,District,Police_Station,Crime_Category,Crime_Subcategory,Severity,Victim_Age,Victim_Gender,Suspect_Age,Suspect_Gender,Weapon_Used,Arrest_Status,Case_Status,Latitude,Longitude,Estimated_Loss_INR,Crime_Description
CR202200657,2023-12-13,23:34,Rajasthan,Jodhpur,Jodhpur Police Station,Chain Snatching,Snatching,Medium,58,Male,35,Female,Knife,Arrested,Under Investigation,34.5498,89.8,160594,Snatching reported in Jodhpur.
CR202200658,2022-11-18,15:45,Kerala,Kochi,Kochi Police Station,Vandalism,Property Damage,Medium,28,Male,32,Male,Stick,Not Arrested,Under Investigation,18.9407,80.4217,24200,Property Damage reported in Kochi.
CR202200659,2023-02-13,06:38,Maharashtra,Mumbai,Mumbai Police Station,Vandalism,Property Damage,Low,29,Female,39,Male,Firearm,Not Arrested,Closed,10.4349,93.3688,480346,Property Damage reported in Mumbai.
CR202200660,2023-02-09,09:55,Uttar Pradesh,Varanasi,Varanasi Police Station,Chain Snatching,Snatching,Low,39,Female,41,Female,Knife,Not Arrested,Under Investigation,30.7427,69.4489,441053,Snatching reported in Varanasi.
CR202200661,2023-07-16,18:35,Odisha,Bhubaneswar,Bhubaneswar Police Station,Murder,Homicide,High,56,Female,34,Female,Stick,Arrested,Chargesheet Filed,9.094,85.1297,135989,Homicide reported in Bhubaneswar.
CR202200662,2023-05-16,23:50,Gujarat,Surat,Surat Police Station,Vandalism,Property Damage,Medium,59,Female,44,Female,Knife,Arrested,Chargesheet Filed,30.0908,92.5541,310660,Property Damage reported in Surat.
CR202200663,2024-10-26,04:36,Haryana,Faridabad,Faridabad Police Station,Murder,Homicide,Low,21,Male,61,Male,Firearm,Arrested,Under Investigation,34.0826,87.785,78492,Homicide reported in Faridabad.
CR202200664,2025-08-22,18:38,Karnataka,Bengaluru,Bengaluru Police Station,Drug Offence,Drug Possession,Medium,44,Male,22,Male,Knife,Not Arrested,Under Investigation,12.753,81.8522,390269,Drug Possession reported in Bengaluru.
CR202200665,2024-01-14,21:17,Rajasthan,Udaipur,Udaipur Police Station,Chain Snatching,Snatching,High,54,Male,31,Male,Stick,Arrested,Closed,29.92,84.3484,83576,Snatching reported in Udaipur.
CR202200666,2023-06-26,09:08,Madhya Pradesh,Bhopal,Bhopal Police Station,Missing Person,Missing Adult,Medium,68,Male,65,Male,,Not Arrested,Closed,11.1443,80.068,283898,Missing Adult reported in Bhopal.
CR202200667,2023-04-16,15:15,Bihar,Patna,Patna Police Station,Theft,Vehicle Theft,High,24,Female,57,Female,,Not Arrested,Chargesheet Filed,25.2163,95.4638,229277,Vehicle Theft reported in Patna.
CR202200668,2024-02-24,11:00,West Bengal,Kolkata,Kolkata Police Station,Vandalism,Property Damage,High,66,Male,25,Female,Firearm,Arrested,Chargesheet Filed,29.7442,93.3873,173765,Property Damage reported in Kolkata.
CR202200669,2025-09-17,02:25,Gujarat,Ahmedabad,Ahmedabad Police Station,Vandalism,Property Damage,Low,24,Female,48,Female,Knife,Not Arrested,Under Investigation,8.666,78.5539,391442,Property Damage reported in Ahmedabad.
CR202200670,2024-01-19,19:54,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Chain Snatching,Snatching,Medium,64,Male,44,Male,Firearm,Not Arrested,Under Investigation,14.832,75.7614,364862,Snatching reported in Thiruvananthapuram.
CR202200671,2022-12-06,14:29,Maharashtra,Pune,Pune Police Station,Domestic Violence,Domestic Abuse,Low,59,Female,31,Female,Stick,Not Arrested,Chargesheet Filed,8.8264,93.4666,455677,Domestic Abuse reported in Pune.
CR202200672,2022-03-26,00:25,Punjab,Ludhiana,Ludhiana Police Station,Kidnapping,Abduction,Medium,55,Female,33,Female,Firearm,Arrested,Under Investigation,32.6486,69.2654,145587,Abduction reported in Ludhiana.
CR202200673,2023-02-26,13:57,Tamil Nadu,Coimbatore,Coimbatore Police Station,Missing Person,Missing Adult,Low,63,Male,51,Female,Firearm,Not Arrested,Closed,17.3318,69.0609,477073,Missing Adult reported in Coimbatore.
CR202200674,2023-03-21,18:29,Delhi,New Delhi,New Delhi Police Station,Robbery,Armed Robbery,Low,20,Female,52,Male,Knife,Not Arrested,Under Investigation,23.4984,84.0658,136664,Armed Robbery reported in New Delhi.
CR202200675,2024-10-02,13:58,Rajasthan,Udaipur,Udaipur Police Station,Sexual Harassment,Harassment,Low,44,Male,45,Male,,Not Arrested,Under Investigation,30.7056,69.6504,304928,Harassment reported in Udaipur.
CR202200676,2024-02-17,04:15,Tamil Nadu,Madurai,Madurai Police Station,Fraud,Online Fraud,Medium,18,Male,42,Female,Stick,Not Arrested,Closed,17.5544,77.5679,356898,Online Fraud reported in Madurai.
CR202200677,2022-09-27,05:22,Uttar Pradesh,Kanpur,Kanpur Police Station,Vandalism,Property Damage,Low,40,Female,19,Male,Knife,Not Arrested,Chargesheet Filed,26.6319,76.086,209150,Property Damage reported in Kanpur.
CR202200678,2022-08-04,20:38,Karnataka,Bengaluru,Bengaluru Police Station,Burglary,House Break-in,High,59,Male,31,Female,Stick,Arrested,Chargesheet Filed,19.8612,81.9534,471006,House Break-in reported in Bengaluru.
CR202200679,2025-07-22,04:47,Odisha,Bhubaneswar,Bhubaneswar Police Station,Missing Person,Missing Adult,Medium,23,Female,32,Male,,Arrested,Chargesheet Filed,26.0985,86.9066,384986,Missing Adult reported in Bhubaneswar.
CR202200680,2024-04-14,20:19,Delhi,New Delhi,New Delhi Police Station,Sexual Harassment,Harassment,High,46,Male,51,Female,Firearm,Arrested,Closed,9.7305,81.2364,359135,Harassment reported in New Delhi.
CR202200681,2023-07-11,13:42,Odisha,Cuttack,Cuttack Police Station,Domestic Violence,Domestic Abuse,Medium,66,Male,23,Female,Firearm,Not Arrested,Chargesheet Filed,17.6898,87.1575,448660,Domestic Abuse reported in Cuttack.
CR202200682,2022-04-01,10:42,Maharashtra,Nagpur,Nagpur Police Station,Assault,Physical Assault,Low,25,Male,28,Female,Firearm,Arrested,Closed,21.1896,75.3602,416342,Physical Assault reported in Nagpur.
CR202200683,2024-03-22,23:39,Madhya Pradesh,Indore,Indore Police Station,Kidnapping,Abduction,Medium,51,Female,42,Male,,Arrested,Under Investigation,21.7989,74.4909,193283,Abduction reported in Indore.
CR202200684,2024-11-20,14:07,Odisha,Cuttack,Cuttack Police Station,Cyber Crime,Phishing,Medium,20,Female,33,Male,Stick,Not Arrested,Closed,15.7457,75.9214,45740,Phishing reported in Cuttack.
CR202200685,2023-11-16,17:03,Rajasthan,Jodhpur,Jodhpur Police Station,Robbery,Armed Robbery,High,45,Male,27,Male,Knife,Arrested,Chargesheet Filed,17.7899,81.1801,219027,Armed Robbery reported in Jodhpur.
CR202200686,2023-11-06,00:42,Maharashtra,Pune,Pune Police Station,Robbery,Armed Robbery,High,57,Female,30,Male,Firearm,Arrested,Chargesheet Filed,12.2429,73.361,337191,Armed Robbery reported in Pune.
CR202200687,2024-07-25,14:49,Uttar Pradesh,Lucknow,Lucknow Police Station,Domestic Violence,Domestic Abuse,High,67,Male,34,Female,Firearm,Not Arrested,Chargesheet Filed,8.536,91.1917,332928,Domestic Abuse reported in Lucknow.
CR202200688,2024-07-22,09:35,Uttar Pradesh,Kanpur,Kanpur Police Station,Robbery,Armed Robbery,Medium,23,Male,45,Male,Knife,Not Arrested,Closed,10.1625,84.3746,167715,Armed Robbery reported in Kanpur.
CR202200689,2023-09-14,00:38,Haryana,Faridabad,Faridabad Police Station,Theft,Vehicle Theft,Low,68,Female,29,Female,Knife,Not Arrested,Closed,8.9593,88.2015,239387,Vehicle Theft reported in Faridabad.
CR202200690,2025-09-18,19:40,Odisha,Bhubaneswar,Bhubaneswar Police Station,Robbery,Armed Robbery,High,35,Male,33,Female,Knife,Not Arrested,Closed,23.1776,72.5834,314495,Armed Robbery reported in Bhubaneswar.
CR202200691,2024-06-05,08:16,Madhya Pradesh,Bhopal,Bhopal Police Station,Chain Snatching,Snatching,Medium,44,Male,22,Male,Firearm,Not Arrested,Chargesheet Filed,18.9825,82.1756,486443,Snatching reported in Bhopal.
CR202200692,2025-08-01,02:17,Bihar,Gaya,Gaya Police Station,Vandalism,Property Damage,Medium,40,Female,59,Male,Firearm,Not Arrested,Closed,28.4556,69.0944,419712,Property Damage reported in Gaya.
CR202200693,2024-07-14,02:39,Punjab,Ludhiana,Ludhiana Police Station,Murder,Homicide,High,35,Male,20,Male,,Not Arrested,Chargesheet Filed,13.1235,77.9525,67990,Homicide reported in Ludhiana.
CR202200694,2023-08-17,16:04,Rajasthan,Jodhpur,Jodhpur Police Station,Chain Snatching,Snatching,High,34,Male,47,Female,Firearm,Not Arrested,Closed,26.2801,96.504,496530,Snatching reported in Jodhpur.
CR202200695,2024-02-10,16:53,Uttar Pradesh,Kanpur,Kanpur Police Station,Burglary,House Break-in,Medium,64,Female,48,Female,Knife,Arrested,Under Investigation,24.5582,80.1494,322081,House Break-in reported in Kanpur.
CR202200696,2023-12-25,20:42,Rajasthan,Jaipur,Jaipur Police Station,Sexual Harassment,Harassment,High,45,Male,23,Male,Knife,Not Arrested,Under Investigation,13.8696,79.6635,488110,Harassment reported in Jaipur.
CR202200697,2023-08-13,18:11,Tamil Nadu,Madurai,Madurai Police Station,Drug Offence,Drug Possession,High,62,Male,45,Female,Stick,Not Arrested,Under Investigation,10.1971,96.7678,329002,Drug Possession reported in Madurai.
CR202200698,2025-12-17,03:52,Odisha,Bhubaneswar,Bhubaneswar Police Station,Theft,Vehicle Theft,High,38,Male,59,Male,Firearm,Arrested,Closed,20.4677,94.7398,476654,Vehicle Theft reported in Bhubaneswar.
CR202200699,2024-11-01,15:07,Uttar Pradesh,Lucknow,Lucknow Police Station,Theft,Vehicle Theft,Low,60,Female,28,Male,Firearm,Not Arrested,Chargesheet Filed,29.927,84.8068,479924,Vehicle Theft reported in Lucknow.
CR202200700,2022-11-01,10:57,Delhi,New Delhi,New Delhi Police Station,Chain Snatching,Snatching,High,59,Male,51,Male,,Arrested,Chargesheet Filed,24.2322,78.2808,168336,Snatching reported in New Delhi.
CR202300701,2025-04-20,07:38,Haryana,Gurugram,Gurugram Police Station,Burglary,House Break-in,Medium,19,Male,18,Male,Stick,Not Arrested,Chargesheet Filed,14.2265,84.9167,131267,House Break-in reported in Gurugram.
CR202300702,2023-04-27,02:45,Gujarat,Surat,Surat Police Station,Kidnapping,Abduction,Medium,40,Female,58,Male,Stick,Arrested,Closed,16.8274,90.6287,252322,Abduction reported in Surat.
CR202300703,2023-06-29,01:54,Maharashtra,Mumbai,Mumbai Police Station,Sexual Harassment,Harassment,Medium,61,Female,33,Male,,Not Arrested,Closed,16.7872,91.9138,236861,Harassment reported in Mumbai.
CR202300704,2022-05-15,08:16,Bihar,Patna,Patna Police Station,Burglary,House Break-in,High,56,Female,58,Male,Firearm,Arrested,Under Investigation,24.2179,73.4833,322144,House Break-in reported in Patna.
CR202300705,2022-07-09,09:17,Bihar,Patna,Patna Police Station,Domestic Violence,Domestic Abuse,Medium,23,Female,35,Female,,Not Arrested,Closed,23.3714,70.7566,103512,Domestic Abuse reported in Patna.
CR202300706,2024-06-30,05:58,Delhi,New Delhi,New Delhi Police Station,Vandalism,Property Damage,Medium,68,Male,30,Male,Stick,Not Arrested,Under Investigation,13.2746,94.8183,16284,Property Damage reported in New Delhi.
CR202300707,2023-04-09,03:19,Uttar Pradesh,Lucknow,Lucknow Police Station,Domestic Violence,Domestic Abuse,Medium,34,Female,24,Female,,Arrested,Chargesheet Filed,13.6435,94.4738,424595,Domestic Abuse reported in Lucknow.
CR202300708,2022-03-11,23:01,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Fraud,Online Fraud,High,32,Male,58,Female,Knife,Arrested,Under Investigation,17.8051,74.5456,488436,Online Fraud reported in Thiruvananthapuram.
CR202300709,2022-08-11,11:07,Punjab,Ludhiana,Ludhiana Police Station,Vandalism,Property Damage,High,45,Female,37,Female,,Arrested,Closed,30.7987,94.0334,225522,Property Damage reported in Ludhiana.
CR202300710,2022-01-08,02:20,Maharashtra,Nagpur,Nagpur Police Station,Drug Offence,Drug Possession,Medium,26,Female,19,Male,Stick,Not Arrested,Under Investigation,32.9846,89.5041,491738,Drug Possession reported in Nagpur.
CR202300711,2025-01-26,14:35,Telangana,Warangal,Warangal Police Station,Fraud,Online Fraud,Medium,23,Female,44,Male,Firearm,Arrested,Closed,30.9928,77.5247,337926,Online Fraud reported in Warangal.
CR202300712,2022-09-09,03:08,Maharashtra,Mumbai,Mumbai Police Station,Robbery,Armed Robbery,High,53,Male,64,Male,Firearm,Arrested,Closed,16.9156,70.8392,124231,Armed Robbery reported in Mumbai.
CR202300713,2022-08-11,15:39,Tamil Nadu,Chennai,Chennai Police Station,Theft,Vehicle Theft,Low,67,Male,56,Female,,Arrested,Chargesheet Filed,30.7991,82.4423,491728,Vehicle Theft reported in Chennai.
CR202300714,2024-10-05,22:53,Gujarat,Ahmedabad,Ahmedabad Police Station,Vandalism,Property Damage,High,28,Male,65,Male,Firearm,Not Arrested,Chargesheet Filed,27.8262,77.8832,116204,Property Damage reported in Ahmedabad.
CR202300715,2025-06-15,12:04,Telangana,Warangal,Warangal Police Station,Burglary,House Break-in,High,29,Female,57,Male,Knife,Arrested,Under Investigation,14.1692,82.4383,181077,House Break-in reported in Warangal.
CR202300716,2025-04-20,13:38,Kerala,Kochi,Kochi Police Station,Murder,Homicide,Medium,65,Male,62,Female,Stick,Arrested,Under Investigation,21.7101,88.9435,104178,Homicide reported in Kochi.
CR202300717,2024-06-13,02:47,West Bengal,Kolkata,Kolkata Police Station,Burglary,House Break-in,High,53,Male,22,Male,Knife,Not Arrested,Closed,21.967,73.5101,311759,House Break-in reported in Kolkata.
CR202300718,2024-12-01,17:55,Tamil Nadu,Chennai,Chennai Police Station,Theft,Vehicle Theft,Low,42,Female,20,Male,Firearm,Arrested,Closed,24.3202,86.1288,313168,Vehicle Theft reported in Chennai.
CR202300719,2022-10-29,18:27,Rajasthan,Jaipur,Jaipur Police Station,Fraud,Online Fraud,Medium,55,Male,41,Male,Knife,Arrested,Under Investigation,33.9191,72.1612,460862,Online Fraud reported in Jaipur.
CR202300720,2022-05-23,14:00,Madhya Pradesh,Indore,Indore Police Station,Sexual Harassment,Harassment,High,65,Female,28,Female,Stick,Arrested,Under Investigation,33.9336,93.2292,185919,Harassment reported in Indore.
CR202300721,2023-12-14,15:39,Karnataka,Mangaluru,Mangaluru Police Station,Murder,Homicide,Medium,41,Female,46,Male,Stick,Arrested,Closed,10.5929,80.6039,220315,Homicide reported in Mangaluru.
CR202300722,2025-04-22,16:58,Gujarat,Surat,Surat Police Station,Murder,Homicide,Medium,26,Female,42,Male,Stick,Not Arrested,Closed,34.0794,94.5348,279568,Homicide reported in Surat.
CR202300723,2023-09-05,17:37,Bihar,Gaya,Gaya Police Station,Theft,Vehicle Theft,Medium,43,Female,63,Male,Firearm,Not Arrested,Under Investigation,14.2449,96.9373,115219,Vehicle Theft reported in Gaya.
CR202300724,2025-05-17,12:20,Maharashtra,Nagpur,Nagpur Police Station,Missing Person,Missing Adult,Medium,41,Male,22,Male,Stick,Not Arrested,Under Investigation,33.1715,86.1443,457963,Missing Adult reported in Nagpur.
CR202300725,2022-05-27,12:06,Rajasthan,Jaipur,Jaipur Police Station,Assault,Physical Assault,Medium,55,Male,30,Male,Stick,Not Arrested,Under Investigation,18.9679,86.1125,358469,Physical Assault reported in Jaipur.
CR202300726,2025-10-22,09:38,Karnataka,Bengaluru,Bengaluru Police Station,Kidnapping,Abduction,Low,26,Female,41,Female,Stick,Not Arrested,Chargesheet Filed,23.2996,87.1481,359081,Abduction reported in Bengaluru.
CR202300727,2023-01-07,15:14,Karnataka,Mysuru,Mysuru Police Station,Cyber Crime,Phishing,High,55,Male,35,Female,,Not Arrested,Closed,24.7053,89.7734,417495,Phishing reported in Mysuru.
CR202300728,2025-05-15,21:45,West Bengal,Siliguri,Siliguri Police Station,Assault,Physical Assault,Medium,37,Female,55,Male,Firearm,Arrested,Closed,14.2948,87.7071,104026,Physical Assault reported in Siliguri.
CR202300729,2025-06-09,05:04,Maharashtra,Mumbai,Mumbai Police Station,Cyber Crime,Phishing,High,69,Female,42,Female,Firearm,Not Arrested,Under Investigation,12.5951,73.8367,63303,Phishing reported in Mumbai.
CR202300730,2024-12-30,04:19,Rajasthan,Udaipur,Udaipur Police Station,Cyber Crime,Phishing,Low,67,Male,35,Male,,Arrested,Under Investigation,21.447,89.9512,165180,Phishing reported in Udaipur.
CR202300731,2023-02-10,03:17,Madhya Pradesh,Indore,Indore Police Station,Robbery,Armed Robbery,High,54,Male,54,Female,,Arrested,Chargesheet Filed,20.9838,93.2282,12816,Armed Robbery reported in Indore.
CR202300732,2023-01-07,01:09,Haryana,Gurugram,Gurugram Police Station,Burglary,House Break-in,Low,28,Male,29,Female,Stick,Arrested,Under Investigation,8.6759,75.6297,312047,House Break-in reported in Gurugram.
CR202300733,2023-01-12,20:48,Haryana,Gurugram,Gurugram Police Station,Assault,Physical Assault,Low,57,Male,29,Female,Knife,Not Arrested,Closed,10.1612,83.5941,103021,Physical Assault reported in Gurugram.
CR202300734,2024-12-30,13:25,Delhi,New Delhi,New Delhi Police Station,Domestic Violence,Domestic Abuse,High,55,Male,18,Male,,Not Arrested,Closed,31.1886,74.0393,239972,Domestic Abuse reported in New Delhi.
CR202300735,2025-06-14,07:12,Madhya Pradesh,Indore,Indore Police Station,Chain Snatching,Snatching,Medium,42,Male,28,Male,Knife,Not Arrested,Closed,30.0105,96.805,311592,Snatching reported in Indore.
CR202300736,2023-01-06,14:34,Haryana,Gurugram,Gurugram Police Station,Assault,Physical Assault,Low,42,Female,25,Female,Stick,Not Arrested,Closed,24.1992,85.8591,41738,Physical Assault reported in Gurugram.
CR202300737,2025-04-17,13:39,Telangana,Hyderabad,Hyderabad Police Station,Missing Person,Missing Adult,Low,26,Male,57,Male,Knife,Arrested,Under Investigation,15.1959,74.1909,13577,Missing Adult reported in Hyderabad.
CR202300738,2022-03-08,00:47,Delhi,New Delhi,New Delhi Police Station,Domestic Violence,Domestic Abuse,High,31,Female,22,Male,Stick,Not Arrested,Under Investigation,26.0272,69.6193,146066,Domestic Abuse reported in New Delhi.
CR202300739,2023-11-16,07:51,Tamil Nadu,Coimbatore,Coimbatore Police Station,Drug Offence,Drug Possession,Low,50,Female,45,Male,Knife,Arrested,Closed,30.9372,83.7471,251159,Drug Possession reported in Coimbatore.
CR202300740,2023-03-17,14:58,Bihar,Gaya,Gaya Police Station,Cyber Crime,Phishing,High,55,Female,20,Male,Stick,Arrested,Chargesheet Filed,18.9572,88.9178,333868,Phishing reported in Gaya.
CR202300741,2024-11-28,11:53,Telangana,Warangal,Warangal Police Station,Robbery,Armed Robbery,Low,47,Female,22,Male,,Not Arrested,Closed,17.8902,85.1279,389370,Armed Robbery reported in Warangal.
CR202300742,2023-05-26,05:16,Delhi,New Delhi,New Delhi Police Station,Burglary,House Break-in,Low,58,Female,41,Female,Stick,Arrested,Closed,9.5637,87.923,462274,House Break-in reported in New Delhi.
CR202300743,2023-06-25,10:31,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Cyber Crime,Phishing,High,44,Male,62,Female,Stick,Not Arrested,Chargesheet Filed,34.3503,71.0624,83262,Phishing reported in Thiruvananthapuram.
CR202300744,2022-08-15,23:18,Bihar,Patna,Patna Police Station,Kidnapping,Abduction,High,69,Female,63,Female,,Arrested,Chargesheet Filed,14.2589,87.6928,442097,Abduction reported in Patna.
CR202300745,2023-01-03,08:11,Madhya Pradesh,Bhopal,Bhopal Police Station,Missing Person,Missing Adult,Medium,36,Male,29,Female,Firearm,Arrested,Under Investigation,24.694,68.8238,15612,Missing Adult reported in Bhopal.
CR202300746,2023-02-03,09:54,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Kidnapping,Abduction,High,55,Female,40,Female,Stick,Arrested,Under Investigation,12.2453,95.5099,146252,Abduction reported in Thiruvananthapuram.
CR202300747,2025-09-20,18:59,Delhi,New Delhi,New Delhi Police Station,Robbery,Armed Robbery,Medium,48,Male,54,Male,Firearm,Arrested,Closed,28.4337,81.6441,194373,Armed Robbery reported in New Delhi.
CR202300748,2023-08-10,23:06,Maharashtra,Nagpur,Nagpur Police Station,Robbery,Armed Robbery,Medium,19,Male,30,Male,Knife,Not Arrested,Chargesheet Filed,22.0429,88.2711,92573,Armed Robbery reported in Nagpur.
CR202300749,2025-09-19,18:27,Gujarat,Vadodara,Vadodara Police Station,Chain Snatching,Snatching,Low,39,Female,18,Male,Stick,Not Arrested,Closed,34.009,92.2441,304647,Snatching reported in Vadodara.
CR202300750,2024-03-04,17:17,Rajasthan,Jaipur,Jaipur Police Station,Murder,Homicide,High,52,Male,52,Female,Stick,Arrested,Closed,11.3165,75.361,210540,Homicide reported in Jaipur.
CR202300751,2024-06-21,10:43,Uttar Pradesh,Kanpur,Kanpur Police Station,Missing Person,Missing Adult,Low,23,Male,44,Female,Firearm,Arrested,Under Investigation,23.7262,95.329,468819,Missing Adult reported in Kanpur.
CR202300752,2022-01-02,10:47,Odisha,Bhubaneswar,Bhubaneswar Police Station,Vandalism,Property Damage,High,25,Female,25,Male,Firearm,Arrested,Chargesheet Filed,34.0911,95.2199,499655,Property Damage reported in Bhubaneswar.
CR202300753,2022-10-15,16:39,Karnataka,Mysuru,Mysuru Police Station,Vandalism,Property Damage,Low,49,Male,42,Male,,Arrested,Under Investigation,32.0812,79.1815,359131,Property Damage reported in Mysuru.
CR202300754,2025-05-31,08:49,Maharashtra,Mumbai,Mumbai Police Station,Chain Snatching,Snatching,Medium,68,Male,64,Male,Stick,Not Arrested,Closed,24.5466,94.3344,67784,Snatching reported in Mumbai.
CR202300755,2025-01-10,01:11,Telangana,Warangal,Warangal Police Station,Cyber Crime,Phishing,Low,69,Female,18,Male,,Arrested,Closed,28.528,92.5478,32901,Phishing reported in Warangal.
CR202300756,2024-11-08,22:58,Tamil Nadu,Madurai,Madurai Police Station,Robbery,Armed Robbery,Medium,56,Female,42,Male,Firearm,Arrested,Closed,25.6419,93.932,34346,Armed Robbery reported in Madurai.
CR202300757,2025-06-12,20:51,Tamil Nadu,Chennai,Chennai Police Station,Robbery,Armed Robbery,High,27,Male,46,Male,,Arrested,Closed,25.5399,74.7084,419834,Armed Robbery reported in Chennai.
CR202300758,2024-04-11,23:06,Punjab,Amritsar,Amritsar Police Station,Kidnapping,Abduction,Medium,30,Female,40,Female,Stick,Not Arrested,Closed,11.6448,96.5445,159942,Abduction reported in Amritsar.
CR202300759,2024-02-15,15:01,Gujarat,Surat,Surat Police Station,Burglary,House Break-in,Low,66,Female,28,Male,Firearm,Not Arrested,Under Investigation,17.3919,86.286,332241,House Break-in reported in Surat.
CR202300760,2023-07-30,09:04,West Bengal,Siliguri,Siliguri Police Station,Chain Snatching,Snatching,Low,64,Male,47,Male,Knife,Not Arrested,Chargesheet Filed,12.2474,79.0204,112850,Snatching reported in Siliguri.
CR202300761,2024-12-21,16:49,Maharashtra,Pune,Pune Police Station,Chain Snatching,Snatching,High,54,Female,64,Female,Stick,Not Arrested,Under Investigation,13.9566,79.6261,352195,Snatching reported in Pune.
CR202300762,2023-01-14,11:27,Haryana,Gurugram,Gurugram Police Station,Kidnapping,Abduction,Medium,31,Female,60,Male,Knife,Arrested,Under Investigation,9.9203,87.7175,208561,Abduction reported in Gurugram.
CR202300763,2025-04-06,15:59,Delhi,New Delhi,New Delhi Police Station,Kidnapping,Abduction,Low,58,Male,21,Male,Firearm,Arrested,Closed,30.4706,94.2615,305736,Abduction reported in New Delhi.
CR202300764,2024-01-21,00:27,Maharashtra,Nagpur,Nagpur Police Station,Fraud,Online Fraud,High,21,Male,34,Female,,Not Arrested,Closed,14.3229,80.9841,174624,Online Fraud reported in Nagpur.
CR202300765,2022-01-24,12:36,Punjab,Amritsar,Amritsar Police Station,Cyber Crime,Phishing,High,63,Male,39,Female,,Arrested,Under Investigation,30.6262,96.1152,402111,Phishing reported in Amritsar.
CR202300766,2025-06-08,05:27,Bihar,Gaya,Gaya Police Station,Domestic Violence,Domestic Abuse,Low,55,Male,45,Male,,Arrested,Chargesheet Filed,20.2314,92.1826,89356,Domestic Abuse reported in Gaya.
CR202300767,2023-05-23,19:32,Punjab,Ludhiana,Ludhiana Police Station,Fraud,Online Fraud,High,44,Female,60,Male,Stick,Arrested,Under Investigation,21.7164,82.8678,89906,Online Fraud reported in Ludhiana.
CR202300768,2022-07-10,19:04,Karnataka,Mysuru,Mysuru Police Station,Fraud,Online Fraud,Medium,57,Male,53,Female,,Arrested,Chargesheet Filed,19.3794,71.8916,268981,Online Fraud reported in Mysuru.
CR202300769,2022-07-17,15:05,Tamil Nadu,Coimbatore,Coimbatore Police Station,Theft,Vehicle Theft,Medium,31,Female,32,Female,Firearm,Not Arrested,Closed,34.3242,94.0874,463001,Vehicle Theft reported in Coimbatore.
CR202300770,2022-12-27,09:28,West Bengal,Siliguri,Siliguri Police Station,Drug Offence,Drug Possession,High,21,Female,21,Female,,Arrested,Under Investigation,32.8993,75.6883,280241,Drug Possession reported in Siliguri.
CR202300771,2022-10-19,04:15,Telangana,Hyderabad,Hyderabad Police Station,Missing Person,Missing Adult,Medium,25,Male,40,Female,Firearm,Arrested,Closed,22.9044,69.9981,497325,Missing Adult reported in Hyderabad.
CR202300772,2023-10-11,22:17,Madhya Pradesh,Indore,Indore Police Station,Theft,Vehicle Theft,High,44,Male,43,Female,,Not Arrested,Closed,8.4793,94.7862,164013,Vehicle Theft reported in Indore.
CR202300773,2022-04-07,15:26,Delhi,New Delhi,New Delhi Police Station,Murder,Homicide,Low,60,Male,39,Male,Knife,Not Arrested,Under Investigation,15.7325,72.9712,20851,Homicide reported in New Delhi.
CR202300774,2024-05-09,12:00,Gujarat,Surat,Surat Police Station,Theft,Vehicle Theft,High,42,Male,28,Female,Firearm,Not Arrested,Chargesheet Filed,21.8276,74.8111,123585,Vehicle Theft reported in Surat.
CR202300775,2025-11-07,14:03,Bihar,Patna,Patna Police Station,Fraud,Online Fraud,High,26,Male,33,Female,Firearm,Arrested,Closed,22.2419,89.7732,47547,Online Fraud reported in Patna.
CR202300776,2023-05-18,13:55,Gujarat,Surat,Surat Police Station,Drug Offence,Drug Possession,Low,19,Female,40,Female,Firearm,Not Arrested,Closed,21.1064,73.9208,56957,Drug Possession reported in Surat.
CR202300777,2022-08-16,12:53,Gujarat,Ahmedabad,Ahmedabad Police Station,Chain Snatching,Snatching,Low,21,Male,21,Male,Firearm,Not Arrested,Closed,27.5464,81.1315,415919,Snatching reported in Ahmedabad.
CR202300778,2024-12-27,21:32,Maharashtra,Nagpur,Nagpur Police Station,Theft,Vehicle Theft,Medium,24,Female,42,Male,Stick,Not Arrested,Under Investigation,26.8978,87.7445,295851,Vehicle Theft reported in Nagpur.
CR202300779,2025-05-26,18:38,Maharashtra,Nagpur,Nagpur Police Station,Domestic Violence,Domestic Abuse,Medium,43,Male,29,Female,Stick,Not Arrested,Closed,23.6822,70.8306,389268,Domestic Abuse reported in Nagpur.
CR202300780,2023-12-10,19:16,Haryana,Faridabad,Faridabad Police Station,Missing Person,Missing Adult,Medium,23,Male,61,Female,,Arrested,Under Investigation,23.5895,72.7412,19704,Missing Adult reported in Faridabad.
CR202300781,2024-12-11,08:22,Haryana,Faridabad,Faridabad Police Station,Burglary,House Break-in,High,45,Female,44,Female,,Arrested,Closed,30.5558,92.851,188753,House Break-in reported in Faridabad.
CR202300782,2025-03-22,00:18,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Domestic Violence,Domestic Abuse,Low,43,Female,35,Female,,Not Arrested,Chargesheet Filed,31.7647,73.2606,254515,Domestic Abuse reported in Thiruvananthapuram.
